0,Alpignano
1,Nichelino
2,San Mauro Torinese
3,Vercelli
4,Novara
5,Alba
6,Cuneo
7,Alessandria
8,Caronno Pertusella
9,Gallarate
10,Saronno
11,Cernobbio
12,Como
13,Lomazzo
14,Arese
15,Bresso
16,Cologno Monzese
17,Cormano
18,Gorgonzola
19,Melzo
20,Novate Milanese
21,Paderno Dugnano
22,Rho
23,San Giuliano Milanese
24,Senago
25,Sesto San Giovanni
26,Bergamo
27,Bovisio-Masciago
28,Limbiate
29,Muggiò
30,Seregno
31,Bolzano
32,Trento
33,Cavaion Veronese
34,Schio
35,Vicenza
36,Vittorio Veneto
37,Chioggia
38,Udine
39,Savona
40,Chiavari
41,La Spezia
42,Sarzana
43,Piacenza
44,Carpi
45,Modena
46,Bologna
47,Cervia
48,Faenza
49,Ravenna
50,Cesena
51,Forlì
52,Rimini
53,Carrara
54,Massa
55,Pistoia
56,Firenze
57,Livorno
58,Piombino
59,Prato
60,Spoleto
61,Fano
62,Osimo
63,Rieti
64,Guidonia Montecelio
65,Monterotondo
66,Nettuno
67,Roma
68,Tivoli
69,Aprilia
70,Formia
71,Latina
72,Cassino
73,Frosinone
74,Sora
75,Avezzano
76,Sulmona
77,Pescara
78,Campobasso
79,Caserta
80,San Felice a Cancello
81,Santa Maria Capua Vetere
82,Afragola
83,Casalnuovo di Napoli
84,Casoria
85,Giugliano in Campania
86,Napoli
87,Pompei
88,Portici
89,Quarto
90,Ercolano
91,Eboli
92,Scafati
93,San Severo
94,Altamura
95,Corato
96,Gravina in Puglia
97,Brindisi
98,Copertino
99,Lecce
100,Andria
101,Bisceglie
102,Canosa di Puglia
103,Trani
104,Potenza
105,Cosenza
106,Rende
107,Crotone
